Node,X,Y
0,72.254,83.1948
1,73.4063,70.1009
2,19.3313,97.7348
3,57.7726,51.3766
4,85.1519,38.1054
5,27.3894,64.0601
6,49.3616,33.6772
7,61.6322,36.0507
8,33.1677,62.7431
9,69.3476,32.6904
10,40.9428,73.4139
11,70.8607,28.2039
12,92.3568,40.9755
13,58.4754,4.32734
14,61.8621,28.8802
15,8.03999,54.1144
16,8.82826,80.9817
17,33.6751,13.1444
18,6.92645,9.89021
19,70.5876,37.7565
20,31.209,19.493
21,93.9521,38.3981
22,62.9273,33.8283
23,95.0626,96.7278
24,14.7713,80.2783
25,5.15079,62.1713
26,99.5498,68.2277
27,88.8562,21.0008
28,27.1981,39.838
29,17.442,50.8418
30,29.5192,27.8545
31,97.0543,16.2961
32,78.5059,69.3914
33,61.405,59.362
34,7.5598,84.7285
35,92.7047,75.8598
36,90.4543,71.6299
37,70.5618,5.06338
38,14.6441,3.26613
39,11.7831,57.2696
40,11.7092,42.6315
41,81.0782,72.2557
42,39.6431,22.7708
43,47.8845,53.9806
44,23.623,56.3726
45,29.2308,46.5932
46,81.0809,82.546
47,58.9129,71.4003
48,21.9521,15.2569
49,32.4318,25.6854
50,24.6049,71.1869
51,2.19205,52.1646
52,80.6277,45.7243
53,41.3547,97.4334
54,61.6968,88.5808
55,51.44,5.53813
56,95.4669,71.6805
57,43.8708,7.5481
58,26.8932,77.9351
59,54.653,70.0089
60,86.7557,76.208
61,7.19862,13.5074
62,28.358,86.6646
63,19.361,2.47452
64,49.4613,36.9237
65,58.435,30.5459
66,56.8112,98.3834
67,93.8335,10.9289
68,65.344,55.0035
69,64.7116,37.2808
70,31.3071,73.3358
71,60.0009,1.61506
72,8.7143,70.1674
73,99.8634,38.9075
74,79.7125,29.3216
75,46.5065,46.1316
76,77.9449,99.9047
77,96.6075,60.1691
78,76.8283,20.6739
79,88.6263,42.3103
80,21.6787,87.0617
81,11.9267,81.7822
82,12.436,8.92015
83,44.6473,39.6952
84,42.9855,26.8727
85,29.216,10.8374
86,0.923117,69.357
87,51.0135,95.863
88,84.0915,20.8643
89,87.5655,49.075
90,0.82513,13.7711
91,65.5203,15.5794
92,49.292,54.5111
93,90.0228,57.706
94,68.4395,15.6717
95,0.786621,4.72209
96,72.7848,19.791
97,67.4063,57.4641
98,9.69549,57.7526
99,21.6462,73.8079
100,50,50
