Node,X,Y
0,89.0155,13.0707
1,3.97595,82.6436
2,53.2078,95.631
3,46.1926,92.3738
4,37.3921,15.4973
5,89.2344,2.67897
6,29.1502,39.8744
7,80.7289,62.7094
8,90.7925,55.6397
9,83.9919,5.0488
10,80.6235,93.0816
11,36.403,69.0948
12,12.9315,83.2686
13,31.8354,73.7202
14,59.677,36.3707
15,79.4971,69.8481
16,82.1879,89.9466
17,83.1899,90.9958
18,97.4914,65.612
19,81.199,10.2744
20,23.7528,37.9345
21,69.9236,48.4945
22,41.5222,63.8662
23,75.929,55.7523
24,69.3455,91.3259
25,2.46128,83.7378
26,38.3205,29.8771
27,0.629709,43.7557
28,73.7937,37.576
29,49.3249,1.40397
30,24.9437,34.7135
31,79.6687,93.8399
32,10.0522,73.5403
33,97.6437,70.5886
34,95.1765,92.7848
35,41.0031,33.8095
36,76.9108,33.4648
37,8.26867,89.8558
38,78.7335,71.7466
39,44.399,75.0892
40,65.7898,36.0697
41,37.8323,64.9632
42,5.56368,7.82593
43,9.1903,80.5105
44,6.53075,22.4319
45,15.2133,68.0591
46,12.5959,25.7358
47,43.7968,10.9668
48,31.4566,35.0732
49,76.1143,9.88512
50,93.146,32.6079
51,42.6636,27.0681
52,78.811,45.3324
53,8.32358,7.03768
54,32.9749,19.2105
55,83.7865,6.16854
56,55.4235,57.0611
57,46.211,94.8829
58,34.4774,88.4449
59,43.104,99.448
60,80.0503,94.1634
61,37.948,40.5425
62,28.6888,45.0534
63,76.5111,57.9899
64,37.8123,62.2393
65,73.9173,91.3383
66,53.2104,51.7821
67,10.2587,12.167
68,64.3697,44.5964
69,7.6325,15.2569
70,7.9508,87.9371
71,16.1474,92.2951
72,0.357925,80.2602
73,30.3533,24.4754
74,76.8211,70.3482
75,88.6176,91.3142
76,22.5311,42.1484
77,16.5862,21.0835
78,83.9898,91.545
79,68.1591,40.9257
80,22.2128,83.53
81,77.6737,73.7346
82,85.8702,97.2511
83,40.9959,59.7014
84,73.8442,26.671
85,76.3133,93.0503
86,87.4689,11.6163
87,96.7289,30.2987
88,60.9016,16.7757
89,85.8426,72.6392
90,6.51175,51.8099
91,59.5486,45.7922
92,59.2242,31.9455
93,81.9832,9.2739
94,17.687,22.0712
95,47.4093,91.7452
96,99.1536,60.4214
97,92.0558,36.6636
98,0.780191,65.5017
99,16.8053,49.6458
100,50,-100
