Node,X,Y
0,79.6543,18.3435
1,77.9691,59.685
2,44.5833,9.99749
3,45.9249,33.3709
4,14.2867,65.0888
5,5.64116,72.1999
6,93.8553,0.0778765
7,99.2212,61.7482
8,61.1653,0.706631
9,2.30624,52.4775
10,39.9861,4.66657
11,97.3756,23.2771
12,9.06064,61.8386
13,38.2462,98.3231
14,46.6763,85.994
15,68.0308,45.0499
16,1.3265,94.2202
17,56.3288,38.5417
18,1.59663,23.0894
19,24.1025,68.3264
20,60.9997,83.3195
21,17.3365,39.1061
22,18.2236,75.5361
23,42.5156,20.7942
24,56.77,3.13133
25,84.2285,44.9754
26,39.515,92.6659
27,72.7272,32.6541
28,57.0444,52.0834
29,96.1172,84.4534
30,74.732,53.9692
31,58.6751,96.5255
32,60.7034,27.5999
33,29.6274,16.5267
34,1.56364,42.3401
35,39.4882,29.3488
36,1.40798,19.8842
37,71.1342,79.0176
38,60.596,92.6301
39,65.1077,91.496
40,85.0039,44.9451
41,9.54101,37.0818
42,66.8841,66.5922
43,59.1298,27.4722
44,56.1243,38.2927
45,97.1712,84.8914
46,72.173,23.5985
47,25.6068,4.04336
48,71.0663,11.0891
49,43.9337,20.1719
50,89.5764,47.537
51,56.3276,69.5516
52,13.9331,60.4417
53,53.9841,20.3061
54,94.2854,59.8865
55,69.4785,88.0468
56,62.4354,29.5634
57,10.5494,45.6535
58,21.844,41.651
59,88.328,32.4345
60,12.2088,35.6298
61,90.6828,27.2132
62,64.769,0.0520377
63,35.2569,30.4781
64,16.4656,53.4089
65,48.483,69.2436
66,26.9412,24.4126
67,16.8291,21.8764
68,55.8102,40.3836
69,6.48922,25.3915
70,24.6876,69.6304
71,71.2271,14.8087
72,99.774,26.6781
73,97.6615,41.1037
74,3.30507,34.5071
75,63.4351,68.0705
76,53.0935,44.7783
77,55.2893,59.2697
78,8.08533,36.9654
79,24.216,80.314
80,47.0301,98.3423
81,39.8824,81.6432
82,79.8345,15.0718
83,50.8199,69.5813
84,85.8359,32.5959
85,22.0241,71.115
86,80.9501,34.8666
87,9.61766,94.0523
88,39.7572,51.7751
89,83.771,67.569
90,73.5216,20.9072
91,54.1448,69.5784
92,22.855,17.4955
93,98.2168,51.6636
94,26.0829,99.6254
95,96.5419,55.8293
96,88.2636,18.8707
97,27.8871,70.0358
98,84.6661,85.6324
99,40.4508,88.777
100,50,50
